;;;;;;;;;;
280;8;9;0;0;0;0;0;D;0;RPM
380;8;0;71;0;0;0;0;FE;19;
540;8;B0;0;FF;0;FF;0;20;0;
D0;6;45;B0;63;C;1A;80;;;
488;8;19;0;0;80;A6;0;FF;C0;
390;8;0;0;40;0;0;0;0;0;
2A0;8;0;0;0;0;0;0;40;40;
3D0;6;0;40;8;0;0;6B;;;
4A8;8;FE;7F;0;20;0;0;20;81;
D0;6;9;C0;5F;C;1A;80;;;
588;8;0;3F;80;0;0;10;0;0;
621;8;20;7D;12;B;2;64;D7;0;
280;8;9;0;0;0;0;0;D;0;
4A0;8;0;0;0;0;0;0;0;0;
D0;6;1C;D0;5A;C;1A;80;;;
2A0;8;0;0;0;0;0;0;60;60;
3D0;6;0;40;8;0;0;6B;;;
488;8;29;0;0;80;A6;0;FF;F0;
D0;6;23;E0;55;C;1A;80;;;
588;8;0;40;80;0;0;10;0;0;
1A0;8;0;0;0;0;0;FE;0;7;
280;8;9;0;0;0;0;0;D;0;
4A0;8;0;0;0;0;0;0;0;0;
D0;6;36;F0;50;C;1A;80;;;
2A0;8;0;0;0;0;0;0;80;80;
1A0;8;0;0;0;0;0;FE;0;8;
50;4;0;E0;90;70;;;;;Airbag (seatbelt)
729;7;4;3;1;0;0;0;0;;
D0;6;D8;0;4;C;1A;80;;;
588;8;0;40;80;0;0;10;0;0;
2A0;8;0;0;0;0;0;0;90;90;
280;8;9;0;0;0;0;0;D;0;
4A0;8;0;0;0;0;0;0;0;0;
D0;6;C8;10;4;C;1A;80;;;
2A0;8;0;0;0;0;0;0;A0;A0;
629;8;FE;2F;64;40;8D;E;40;FE;
280;8;9;0;0;0;0;0;D;0;
D0;6;FB;20;4D;C;1A;80;;;
588;8;0;40;80;0;0;10;0;0;
2A0;8;0;0;0;0;0;0;B0;B0;
280;8;9;0;0;0;0;0;D;0;
540;8;30;0;FF;0;FF;0;20;0;
D0;6;EA;30;4C;C;1A;80;;;
2A0;8;0;0;0;0;0;0;C0;C0;
1A0;8;0;0;0;0;0;FE;0;C;
280;8;9;0;0;0;0;0;D;0;
D0;6;9;40;48;C;1A;80;;;
480;8;5;24;0;0;C;80;0;F6;Motor
1A0;8;0;0;0;0;0;FE;0;D;
280;8;9;0;0;0;0;0;D;0;
5A0;8;7F;0;0;70;0;1;0;2B;Speed, Distance
D0;6;87;50;41;C;1A;80;;;
390;8;0;0;40;0;0;0;0;0;
2A0;8;0;0;0;0;0;0;E0;E0;
50;4;0;E0;C0;20;;;;;
58C;8;90;E0;0;0;19;0;0;2;
D0;6;CE;60;38;C;1A;80;;;
588;8;0;3F;80;0;0;10;0;0;
62D;8;90;20;AB;42;BD;3;2B;40;
280;8;9;0;0;0;0;0;D;0;
D0;6;D6;70;30;C;1A;80;;;
661;8;3;0;0;0;0;0;0;0;
5D0;8;85;2;50;2F;0;59;C0;0;
3D0;6;0;40;8;0;0;6B;;;
4A8;8;FE;7F;0;20;0;0;80;21;
D0;6;3;80;28;C;1A;80;;;
588;8;0;3;80;0;0;10;0;0;
1A0;8;0;0;0;0;0;FE;0;1;
280;8;9;0;0;0;0;0;D;0;
4A0;8;0;0;0;0;0;0;0;0;
D0;6;24;90;22;C;1A;80;;;
1A0;8;0;0;0;0;0;FE;0;2;
3D0;6;0;40;8;0;0;6B;;;
488;8;69;0;0;80;A6;0;FF;B0;
D0;6;2B;A0;1D;C;1A;80;;;
588;8;0;3D;80;0;0;10;0;0;
35F;8;0;0;0;0;0;0;0;0;
280;8;9;0;0;0;0;0;D;0;
4A0;8;0;0;0;0;0;0;0;0;
D0;6;31;B0;17;C;1A;80;;;
570;5;7;0;91;5;0;;;;
64F;8;3C;0;0;0;0;0;0;0;
3D0;6;0;40;8;0;0;6B;;;
4A0;8;0;0;0;0;0;0;0;0;
D0;6;46;C0;10;C;1A;80;;;
588;8;0;3D;80;0;0;10;0;0;
2A0;8;0;0;0;0;0;0;50;50;
280;8;9;0;0;0;0;0;D;0;
4A0;8;0;0;0;0;0;0;0;0;
D0;6;41;D0;7;C;1A;80;;;
2A0;8;0;0;0;0;0;0;60;60;
1A0;8;0;0;0;0;0;FE;0;6;
280;8;9;0;0;0;0;0;D;0;
320;8;0;2;B;1;0;9;0;80;Speed
480;8;93;24;0;0;C;80;0;3B;
1A0;8;0;0;0;0;0;FE;0;7;
280;8;9;0;0;0;0;0;D;0;
3A0;8;B;C;0;8;0;0;0;F;
D0;6;68;F0;A;8;1A;80;;;
390;8;0;0;40;0;0;0;0;0;
1A0;8;0;0;0;0;0;FE;0;8;
50;4;0;E0;10;F0;;;;;
4A0;8;0;0;0;0;0;0;0;0;
D0;6;82;0;10;8;1A;80;;;
588;8;0;3D;80;0;0;10;0;0;
5D2;8;0;FF;FF;FF;FF;39;42;57;
621;8;20;7D;12;B;2;64;D7;0;
4A0;8;0;0;0;0;0;0;0;0;
D0;6;93;10;11;8;1A;80;;;
5D0;8;85;2;50;2F;0;59;C0;0;
